frame.time_relative,ip.src,ip.dst,_ws.col.protocol,frame.len,tcp.flags,label
"38.456839000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.459081000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"38.459201000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"38.459608000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.460921000","192.168.1.20","192.168.1.10","KRB5","1514","0x0010",normal,normal
"38.460921000","192.168.1.20","192.168.1.10","KRB5","283","0x0018",normal,normal
"38.461080000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"38.462549000","192.168.1.10","192.168.1.20","KRB5","1663","0x0018",normal,normal
"38.463017000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.464370000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"38.464370000","192.168.1.20","192.168.1.10","TCP","1514","0x0010",normal,normal
"38.464370000","192.168.1.20","192.168.1.10","DCERPC","538","0x0018",normal,normal
"38.464739000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"38.464820000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"38.467359000","192.168.1.10","192.168.1.20","TCP","54","0x0014",normal,normal
"38.473379000","192.168.1.10","192.168.1.20","DCERPC","338","0x0018",normal,normal
"38.474870000","192.168.1.20","192.168.1.10","DCERPC","274","0x0018",normal,normal
"38.475390000","192.168.1.10","192.168.1.20","DCERPC","159","0x0018",normal,normal
"38.476328000","192.168.1.20","192.168.1.10","DRSUAPI","322","0x0018",normal,normal
"38.476670000","192.168.1.10","192.168.1.20","DRSUAPI","258","0x0018",normal,normal
"38.477498000","192.168.1.20","192.168.1.10","DRSUAPI","306","0x0018",normal,normal
"38.478313000","192.168.1.10","192.168.1.20","DRSUAPI","370","0x0018",normal,normal
"38.479702000","192.168.1.20","192.168.1.10","DRSUAPI","306","0x0018",normal,normal
"38.480333000","192.168.1.10","192.168.1.20","DRSUAPI","386","0x0018",normal,normal
"38.484797000","192.168.1.20","192.168.1.10","DRSUAPI","194","0x0018",normal,normal
"38.485132000","192.168.1.10","192.168.1.20","DRSUAPI","194","0x0018",normal,normal
"38.516793000","192.168.1.10","192.168.1.20","TCP","322","0x0018",normal,normal
"38.517194000","192.168.1.20","192.168.1.10","TCP","66","0x0010",normal,normal
"38.523448000","192.168.1.20","192.168.1.10","EPM","222","0x0018",normal,normal
"38.523735000","192.168.1.10","192.168.1.20","EPM","322","0x0018",normal,normal
"38.526007000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"38.526175000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"38.526694000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.527872000","192.168.1.20","192.168.1.10","DCERPC","266","0x0018",normal,normal
"38.534377000","192.168.1.10","192.168.1.20","DCERPC","78","0x0018",normal,normal
"38.534569000","192.168.1.10","192.168.1.20","TCP","54","0x0011",normal,normal
"38.534806000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.534806000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"38.534833000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"38.540344000","192.168.1.20","192.168.1.10","DNS","119",,normal,normal
"38.540344000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.540668000","192.168.1.10","192.168.1.20","DNS","166",,normal,normal
"38.542281000","192.168.1.20","192.168.1.10","CLDAP","284",,normal,normal
"38.542703000","192.168.1.10","192.168.1.20","CLDAP","198",,normal,normal
"38.571475000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.657976000","192.168.1.20","192.168.1.10","EPM","222","0x0018",normal,normal
"38.658458000","192.168.1.10","192.168.1.20","EPM","322","0x0018",normal,normal
"38.659513000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"38.659592000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"38.659993000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.660119000","192.168.1.20","192.168.1.10","DCERPC","214","0x0018",normal,normal
"38.660332000","192.168.1.10","192.168.1.20","DCERPC","162","0x0018",normal,normal
"38.660698000","192.168.1.20","192.168.1.10","RPC_NETLOGON","196","0x0018",normal,normal
"38.663231000","192.168.1.10","192.168.1.20","RPC_NETLOGON","90","0x0018",normal,normal
"38.663867000","192.168.1.20","192.168.1.10","RPC_NETLOGON","258","0x0018",normal,normal
"38.675721000","192.168.1.10","192.168.1.20","RPC_NETLOGON","98","0x0018",normal,normal
"38.676666000","192.168.1.20","192.168.1.10","DCERPC","178","0x0018",normal,normal
"38.676809000","192.168.1.10","192.168.1.20","DCERPC","130","0x0018",normal,normal
"38.678025000","192.168.1.20","192.168.1.10","RPC_NETLOGON","286","0x0018",normal,normal
"38.680657000","192.168.1.10","192.168.1.20","RPC_NETLOGON","174","0x0018",normal,normal
"38.685065000","192.168.1.20","192.168.1.10","RPC_NETLOGON","958","0x0018",normal,normal
"38.690746000","192.168.1.10","192.168.1.20","RPC_NETLOGON","958","0x0018",normal,normal
"38.712072000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.743416000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
